,Tat90_SGat0.55,Tat180_SGat0.55,Tat270_SGat0.55,Tat360_SGat0.55,Tat450_SGat0.55,Tat540_SGat0.55,Tat90_SGat0.6,Tat180_SGat0.6,Tat270_SGat0.6,Tat360_SGat0.6,Tat450_SGat0.6,Tat540_SGat0.6,Tat90_SGat0.65,Tat180_SGat0.65,Tat270_SGat0.65,Tat360_SGat0.65,Tat450_SGat0.65,Tat540_SGat0.65,Tat90_SGat0.7,Tat180_SGat0.7,Tat270_SGat0.7,Tat360_SGat0.7,Tat450_SGat0.7,Tat540_SGat0.7,Tat90_SGat0.75,Tat180_SGat0.75,Tat270_SGat0.75,Tat360_SGat0.75,Tat450_SGat0.75,Tat540_SGat0.75,Tat90_SGat0.8,Tat180_SGat0.8,Tat270_SGat0.8,Tat360_SGat0.8,Tat450_SGat0.8,Tat540_SGat0.8,Tat90_SGat0.85,Tat180_SGat0.85,Tat270_SGat0.85,Tat360_SGat0.85,Tat450_SGat0.85,Tat540_SGat0.85,Tat90_SGat0.9,Tat180_SGat0.9,Tat270_SGat0.9,Tat360_SGat0.9,Tat450_SGat0.9,Tat540_SGat0.9
1,0.9422852598959803,0.9956474904598082,0.9988794694785843,0.9995486364059342,0.9997744093812478,0.9998733074255902,0.9306886629250951,0.9949085252836393,0.9987040860615041,0.9994807016040163,0.9997404984714496,0.9998536539700958,0.9171508236442982,0.9940775056073026,0.9985091825117143,0.9994058905844118,0.9997033984043437,0.9998322438852012,0.901329674414916,0.9931464296883653,0.9982932412404093,0.9993237200974748,0.999662908109989,0.9998089783719755,0.8827824294707266,0.9921068040063068,0.998054663375961,0.9992336808754602,0.9996188152953722,0.9997837528410367,0.8609120270149695,0.9909496038370669,0.997791764510212,0.9991352364219999,0.999570895947823,0.9997564566649653,0.8348691042952966,0.9896652278552429,0.9975027698832843,0.9990278216436383,0.9995189137732577,0.999726972897853,0.8033530386044905,0.988243445939478,0.9971858089584189,0.9989108413113449,0.9994626195644617,0.9996951779596212
100,-0.04569405534798343,0.028270512103594436,0.8761058122906336,0.9535451130908728,0.9772797324613901,0.9873815701090319,0.04343839516583492,-0.030874599476867104,0.8534499992611735,0.9462049682462353,0.9737768707908367,0.9853883543291587,0.04461462340215855,0.029802521854022768,0.8266878185981796,0.9380052021642167,0.9699208264867355,0.9832093946951456,-0.04916436902266663,-0.032831180517517655,0.7945974398822174,0.9288494559385064,0.9656834157472759,0.9808326349374936,-0.050289971126863175,0.03135466359144723,0.7551409004588151,0.9186253966439334,0.9610336056742514,0.9782450353881754,-0.05140701720810892,0.03213744095996973,0.7043165237572682,0.9072003663045277,0.9559370990667435,0.9754324767482677,-0.052519103318443006,-0.03565977633218864,0.6312160581920773,0.8944152963164574,0.9503558270948291,0.9723796478127644,-0.0536294866691166,0.033717640765619006,0.026898840417560743,0.8800759528668489,0.9442473247721886,0.9690699142729824
199,-0.09092204797960357,-0.05941107617568164,0.7095123165177076,0.90454450581626,0.9544706599439506,0.9750068769985077,0.08643674698958204,0.05775098601769568,0.6266481487762733,0.8885348427280377,0.9472602288881453,0.970986016560684,-0.09556449039402581,0.05928363007899007,-0.046771319281592616,0.8702627861687587,0.9392653683724925,0.9665741419535255,-0.09783001525145218,0.060825604465074345,0.04932500721129918,0.8493071830569774,0.9304068634089615,0.9617420793265952,0.0934111059194554,-0.0672126213688875,0.05028946371608045,0.8250953115983334,0.9205931137845842,0.9564575361602046,-0.10229392681195548,-0.06908824668249913,0.05131156608043841,0.796805979264626,0.9097170628280836,0.9506846351265683,-0.10450742047320982,-0.07094331120210784,0.052379402494149296,0.7631718896599787,0.8976520112342175,0.9443833421331703,0.10030392291884913,-0.07278197458427815,0.053485165773133,0.7220108400391525,0.8842457748490284,0.9375087587627801
298,0.12588925266439432,-0.08893030571791805,0.07024393480826552,0.8517872188695395,0.9313606233564513,0.9627760182218328,-5.171864153731178,0.08644286572224957,-0.06740932206537242,0.8249673086825827,0.9201767793049571,0.956676097058877,-0.14309511605819525,-0.0948791297072864,-0.06999292083113606,0.7932671755892298,0.9076713186554413,0.9499567793327401,-0.14648862443364963,-0.09777103709546564,-0.07253213255424784,0.7550350700363627,0.8936752827171228,0.9425651927976011,0.1398752679466866,-0.10061840413472911,0.07521825652486691,0.7072646615051147,0.8779816405178118,0.934441347456333,0.14332133674357622,0.09571542121089882,-0.07750209658429652,0.6430321854323031,0.8603311099103049,0.9255167006504832,-0.15649017449389524,0.09806602610880288,0.07836631172025177,0.5316663899074033,0.8403900905774846,0.9157122962684348,0.15019840508258775,0.10043160255178152,0.08002877699493793,-0.06525673878128957,0.8177145079227666,0.9049363132799794
397,-0.1813508489644109,0.1120624178058991,0.09334076405152913,0.794137224867389,0.9079743353224373,0.9507190545240395,-4.0616665012360045,0.11510940423657323,0.09468495526474152,0.7528822803425483,0.8925233758722876,0.942492969190239,-0.19061810594810447,0.11817662206249824,0.09631114265561647,0.7007886879918434,0.8750756533841605,0.9333945382627828,-0.1951402030206082,0.12126089566949672,-0.09656737678096894,0.6293747296239425,0.855307821873409,0.9233390438599053,-0.19961212409954165,0.1243611131317266,0.10008914712121397,0.4911370459961843,0.8327952159917672,0.9122278207906035,-0.20404974306412638,0.12747758470300008,-0.10319013261262722,0.09375477150430633,0.8069573754247121,0.8999446861459215,-0.20846736924449816,0.130611627386094,0.1043068917298402,-0.08397658238612538,0.7769576727161265,0.8863510303781278,0.2000892622876141,-0.14512287265887824,0.10653025043951048,0.09495902869447304,0.7414978894467573,0.8712788963426803
496,-0.22655167954809818,-0.8188631811668547,-0.10765743618233026,0.7297690641867175,0.8843525942411761,0.93886954284002,-0.23239727557742462,-0.7110981993542809,-0.11204304386031239,0.6668686929119132,0.8643151649424385,0.928476542918656,-0.23813346776278,0.1475887947390282,0.12013466351295232,0.5725675165878911,0.841427710780412,0.9169329012012293,0.2270302925565877,0.15144716712289097,-0.12057256530075389,-0.09379386742821938,0.8151056432904226,0.9041123337888549,0.2327902723167779,-0.16736724440300765,-0.12473740893940244,-0.0975137715132447,0.7845142614100051,0.889863726330517,-0.25491865883596365,0.1592219683455176,-0.12884891347121652,0.11660546495054858,0.7483758298256549,0.8740033571024332,-0.26043900858422886,-0.1766772460130852,-0.13291648121664834,0.1171997740427888,0.7045234376606876,0.856303533938043,0.24997649634329788,0.16708352481588085,0.13299014763839745,0.11831039215231387,0.6486107586858957,0.8364753711929395
595,-0.27174347830755696,0.16778347603008759,0.13920798976299587,0.6554383740229074,0.8605587763814866,0.9272646969574821,-30.68593610869994,-0.18334953397023845,0.14135712071473194,0.5510671917574438,0.8355974845884387,0.9146728493125641,-0.2856412091879952,0.17697827493317497,0.14388518583791,0.14682239368087713,0.8067079281994655,0.900627007061588,0.27233043601042306,-1.255858583278748,0.146676659919025,-0.11242229232710699,0.772871626054536,0.8849482797631546,-0.29912781124785726,1.0911696121362706,-0.1495452010181777,0.1393374552191179,0.732480772235514,0.8674166399591656,0.28612443566114576,0.19094864974641768,-0.15447862899348874,0.13927868030911394,0.6826774454913063,0.84775559327456,0.29299323746624034,-0.21188319911568287,0.1560518365826391,0.1401256354994631,0.617231023849982,0.8256083512113136,-0.3190178001163937,0.2003863592561741,-0.16419833498301029,-0.1300028855447054,0.5142230736482896,0.800498877885774
694,0.2930923638410151,0.19560262793337624,-0.1504181095814081,0.5644946342387323,0.8366873215532475,0.9159454465126947,0.30134422281589057,-0.21377447949444361,0.16456638711897065,0.1900399669561872,0.8064639191197346,0.9011345231860547,0.3095166302611944,-0.22064351313021469,0.16756465675420196,0.16831844620170944,0.7709629268852817,0.884543050667125,0.3176258055108323,0.2117575342717728,0.1708566068102919,-0.13102062912370338,0.728467329772995,0.8659278467819628,0.3256875366783195,0.21719465108991098,-0.17432371950336645,0.16161169426554056,0.6759293245195614,0.8449816555454718,0.3337172066513154,0.22265770586589895,0.17804330821648762,-0.14136715566068758,0.6067513236784542,0.8213054477823882,0.3417298307522958,0.22814945996694536,-0.18577392994944697,0.16291715224613923,0.498644121209817,0.794362706495589,0.3497401022342699,1.3766638655315382,-0.19141957598956516,-0.15152155366228204,0.18654308888433535,0.7633988411906291
793,0.3348778555453302,0.22339449179966886,0.1846694169636085,0.44184336134307634,0.812874231836857,0.9049563504443452,0.34430889734222647,0.2295257297712181,0.18769468039363169,0.20520334105819726,0.7770825106816173,0.8879210914433837,0.353648887707238,-0.25202875045350215,-0.18564643900849864,-0.1435756302624428,0.7343685069750603,0.8687595085160864,-0.38967634009332186,0.2418818553869182,0.1949761726363919,0.18492784987163668,0.681959248307894,0.8471530827206607,-0.3986176169168232,-0.26733477543665485,-0.19907316233286698,-0.15553042465324718,0.6142833087625158,0.8226892338968991,0.3813058507732724,-0.27482756599211333,0.20324208990625725,0.18414143570818964,0.516130172650259,0.7948154339687785,-0.41632063264907726,-0.28223742095614357,-0.21216014879730483,0.18558141611428636,0.2866429112537019,0.7627593746842315,0.39961647767879155,-0.28958095457857747,-0.21861296856982504,0.18767472214107972,0.20474582348658676,0.7253785025503063
892,0.37665724543242673,0.2511592859074834,0.20725775570697014,0.3094217591606019,0.7893088686356959,0.8943453163838352,0.38726797695496284,-0.27455512179357555,0.210744479627768,0.22336440709636707,0.7477308338130392,0.8750989488499703,0.3977759915260426,-0.2833918205564654,0.21471774981156266,0.21067585943194267,0.6973343068627541,0.8533679355708681,0.40820223663175526,0.27198574985394486,0.2190366572897955,0.20652296453806784,0.6339564298829694,0.828750066422715,0.4185670844676335,0.2789888550433981,-0.2237937251114286,-0.1748088698348086,0.5484855759626482,0.8007134045330131,0.42889037049703294,0.2860232469108943,0.2283935584064134,-0.18141846900457703,0.4145825479987468,0.7685273431146515,0.4391914455809813,0.29309284948804093,0.23333860412097507,-0.1879671560320082,0.25316569361095265,0.731138355275136,0.44948923719328626,0.3002030098605495,-0.24577867396477004,-0.19446544623132322,0.22418882277306973,0.6869261156066502
